Month;Price;Sales
Jan-00;27.26;12819.1
Feb-00;29.37;11972.6
Mar-00;29.84;11137.8
Apr-00;25.72;11291.3
May-00;28.79;12429
Jun-00;31.82;13003.1
Jul-00;29.7;11693.9
Aug-00;31.26;13215.7
Sep-00;33.88;12307.8
Oct-00;33.11;13801.8
Nov-00;34.42;13893.3
Dec-00;28.44;19361.1
Jan-01;29.59;20550.8
Feb-01;29.61;17289.1
Mar-01;27.25;16187.7
Apr-01;27.49;16783.3
May-01;28.63;17926.2
Jun-01;27.6;14571.6
Jul-01;26.43;13722.5
Aug-01;27.37;13607.4
Sep-01;26.2;12579.1
Oct-01;22.17;11120.2
Nov-01;19.64;11581.1
Dec-01;19.39;11742.2
Jan-02;19.72;10478
Feb-02;20.72;10752
Mar-02;24.53;9957.5
Apr-02;26.18;10194.6
May-02;27.04;9395.8
Jun-02;25.52;10407.4
Jul-02;26.97;9606.6
Aug-02;28.39;10513.1
Sep-02;29.66;9857.9
Oct-02;28.84;9659.8
Nov-02;26.35;11700.7
Dec-02;29.46;12671.9
Jan-03;32.95;11402.3
Feb-03;35.83;12223.5
Mar-03;33.51;12099.1
Apr-03;28.17;10871.8
May-03;28.11;10353.5
Jun-03;30.66;11897.2
Jul-03;30.76;10530.6
Aug-03;31.57;9755.3
Sep-03;28.31;10315.2
Oct-03;30.34;9721.2
Nov-03;31.11;8162.1
Dec-03;32.13;10836.2
Jan-04;34.31;11042.6
Feb-04;34.69;11330.3
Mar-04;36.74;11039.8
Apr-04;36.75;10754.6
May-04;40.28;9684.6
Jun-04;38.03;10138.4
Jul-04;40.78;9574.3
Aug-04;44.9;8733.3
Sep-04;45.94;8887.6
Oct-04;53.28;8638.5
Nov-04;48.47;10720.9
Dec-04;43.15;11875.2
Jan-05;46.84;11741.9
Feb-05;48.15;11929.4
Mar-05;54.19;10373
Apr-05;52.98;9187
May-05;49.83;8467.5
Jun-05;56.35;9776.3
Jul-05;59;9378
Aug-05;64.99;10700.4
Sep-05;65.59;10409.8
Oct-05;62.26;10127.6
Nov-05;58.32;11371.4
Dec-05;59.41;11384.8
Jan-06;65.49;10625.3
Feb-06;61.63;10971.9
Mar-06;62.69;10186.4
Apr-06;69.44;10054.5
May-06;70.84;9385.7
Jun-06;70.95;9850.3
Jul-06;74.41;9961.5
Aug-06;73.04;10825.7
Sep-06;63.8;10558
Oct-06;58.89;10843
Nov-06;59.08;11054.3
Dec-06;61.96;9950.1
Jan-07;54.51;12193.1
Feb-07;59.28;12797
Mar-07;60.44;11495.5
Apr-07;63.98;13039.9
May-07;63.46;10996.2
Jun-07;67.49;10267
Jul-07;74.12;11213.9
Aug-07;72.36;9736.1
Sep-07;79.92;10693.7
Oct-07;85.8;10164
Nov-07;94.77;9561.3
Dec-07;91.69;9079.8
Jan-08;92.97;10210.1
Feb-08;95.39;9773
Mar-08;105.45;7825.6
Apr-08;112.58;9030.4
May-08;125.4;8029.7
Jun-08;133.88;7822.6
Jul-08;133.37;7589.9
Aug-08;116.67;7412.8
Sep-08;104.11;7338.4
Oct-08;76.61;7427.5
Nov-08;57.31;8125.6
Dec-08;41.12;10634.4
Jan-09;41.71;12478
Feb-09;39.09;9844.4
Mar-09;47.94;8438.4
Apr-09;49.65;7411.5
May-09;59.03;7333.6
Jun-09;69.64;7764.8
Jul-09;64.15;8394.2
Aug-09;71.05;7723.7
Sep-09;69.41;7788
Oct-09;75.72;7899.5
Nov-09;77.99;8206.7
Dec-09;74.47;9275.3
Jan-10;78.33;8303.2
Feb-10;76.39;8854.9
Mar-10;81.2;7713.1
Apr-10;84.29;6818.5
May-10;73.74;7231.5
Jun-10;75.34;7066.7
Jul-10;76.32;7875.6
Aug-10;76.6;6828.2
Sep-10;75.24;7661.4
Oct-10;81.89;7553
Nov-10;84.25;7293.6
Dec-10;89.15;7560
Jan-11;89.17;7585.7
Feb-11;88.58;6984.9
Mar-11;102.86;7505.3
Apr-11;109.53;6522.8
May-11;100.9;6482.9
Jun-11;96.26;5736.6
Jul-11;97.3;5946
Aug-11;86.33;5054.1
Sep-11;85.52;6110.5
Oct-11;86.32;6272.3
Nov-11;97.16;6438.8
Dec-11;98.56;6459.8
Jan-12;100.27;6151.1
Feb-12;102.2;5661.1
Mar-12;106.16;6031.9
Apr-12;103.32;6233.1
May-12;94.66;4634.7
Jun-12;82.3;5765.5
Jul-12;87.9;5609.1
Aug-12;94.13;5371.5
Sep-12;94.51;5274.6
Oct-12;89.49;5159.3
Nov-12;86.53;5334.6
Dec-12;87.86;5002.2
Jan-13;94.76;5578.3
Feb-13;95.31;6275.6
Mar-13;92.94;5812.1
Apr-13;92.02;4869.2
May-13;94.51;4864.9
Jun-13;95.77;4554.8
Jul-13;104.67;5141.7
Aug-13;106.57;5119.8
Sep-13;106.29;4438.3
Oct-13;100.54;4826.8
Nov-13;93.86;4694.8
Dec-13;97.63;6013.2
Jan-14;94.62;4851.6
Feb-14;100.82;5141.4
Mar-14;100.8;5372.2
Apr-14;102.07;4664.5
May-14;102.18;4169.9
Jun-14;105.79;4578.6
Jul-14;103.59;4205.7
Aug-14;96.54;4321.3
Sep-14;93.21;4147.2
Oct-14;84.4;4777.5
Nov-14;75.79;4139.3
Dec-14;59.29;4886.2
Jan-15;47.22;3638.3
Feb-15;50.58;3691.4
Mar-15;47.82;3504.8
Apr-15;54.45;4575.8
May-15;59.27;3878.8
Jun-15;59.82;4588.9
Jul-15;50.9;3594
Aug-15;42.87;4309.7
Sep-15;45.48;4546.1
Oct-15;46.22;3741.4
Nov-15;42.44;4403.1
Dec-15;37.19;3994.1
Jan-16;31.68;4103.1
Feb-16;30.32;3860
Mar-16;37.55;4053.4
Apr-16;40.75;4238.4
May-16;46.71;3888.8
Jun-16;48.76;3799
Jul-16;44.65;4331.5
Aug-16;44.72;4415.2
Sep-16;45.18;4722.9
Oct-16;49.78;4405.5
Nov-16;45.66;3958.2
Dec-16;51.97;4243.9
Jan-17;52.5;3876.3
Feb-17;53.47;4419.4
Mar-17;49.33;4592.3
Apr-17;51.06;3840
May-17;48.48;3847.5
Jun-17;45.18;3662.6
Jul-17;46.63;3414.2
Aug-17;48.04;3651.9
Sep-17;49.82;4075.4
Oct-17;51.58;3548.9
Nov-17;56.64;4254.6
Dec-17;57.88;4573.4
Jan-18;63.7;3654
Feb-18;62.23;3579.3
Mar-18;62.73;3648.2
Apr-18;66.25;3489.9
May-18;69.98;3228.2
Jun-18;67.87;3047.4
Jul-18;70.98;3543.4
Aug-18;68.06;3219.3
Sep-18;70.23;3582.8
Oct-18;70.75;3773.4
Nov-18;56.96;3360.9
Dec-18;49.52;3540.6
Jan-19;51.38;2802.6
Feb-19;54.95;2293.5
Mar-19;58.15;2214
Apr-19;63.86;2379.7
May-19;60.83;2025.2
Jun-19;54.66;3280.2
Jul-19;57.35;2765
Aug-19;54.81;2616.6
Sep-19;56.95;3242.5
Oct-19;53.96;2765.3
Nov-19;57.03;2448.1
Dec-19;59.88;2072.7
Jan-20;57.52;1836.1
Feb-20;50.54;2440.4
Mar-20;29.21;1982.3
Apr-20;16.55;2268.5
May-20;28.56;1551.7
Jun-20;38.31;1844
Jul-20;40.71;2007.5
Aug-20;42.34;1729.4
Sep-20;39.63;1886.3
Oct-20;39.4;2917.8
Nov-20;40.94;1995
Dec-20;47.02;2288.1
Jan-21;52;2098.7
Feb-21;59.04;2014.9
Mar-21;62.33;2129.5
Apr-21;61.72;1975.2
May-21;65.17;1813.3
Jun-21;71.38;2166.4
Jul-21;72.49;1760.9
Aug-21;67.73;2005.5
Sep-21;71.65;1843.9
Oct-21;81.48;2020.8
Nov-21;79.15;2192.4
Dec-21;71.71;1915.5
Jan-22;83.22;2589.9
